Source,State,Year,Annual Generation (In MU)
small-hydro,Madhya Pradesh,2021-22,221.44
small-hydro,Maharashtra,2021-22,787.16
small-hydro,Manipur,2021-22,
small-hydro,Meghalaya,2021-22,44.20
small-hydro,Mizoram,2021-22,26.42
small-hydro,Nagaland,2021-22,63.48
small-hydro,Odisha,2021-22,377.29
small-hydro,Punjab,2021-22,983.37
small-hydro,Rajasthan,2021-22,7.85
small-hydro,Sikkim,2021-22,20.16
small-hydro,Tamil Nadu,2021-22,293.17
small-hydro,Telangana,2021-22,90.99
small-hydro,Tripura,2021-22,1.44
small-hydro,Uttar Pradesh,2021-22,162.54
small-hydro,Uttarakhand,2021-22,326.70
small-hydro,West Bengal,2021-22,145.10
small-hydro,Andaman and Nicobar Islands,2020-21,14.69
small-hydro,Andhra Pradesh,2020-21,351.23
small-hydro,Arunachal Pradesh,2020-21,0.55
small-hydro,Assam,2020-21,38.15
small-hydro,Bihar,2020-21,43.20
small-hydro,Chhattisgarh,2020-21,145.52
small-hydro,Goa,2020-21,
small-hydro,Gujarat,2020-21,211.94
small-hydro,Haryana,2020-21,276.58
small-hydro,Himachal Pradesh,2020-21,2123.78
small-hydro,Jammu and Kashmir,2020-21,429.88
small-hydro,Jharkhand,2020-21,1.13
small-hydro,Karnataka,2020-21,2199.68
small-hydro,Kerala,2020-21,640.58
small-hydro,Madhya Pradesh,2020-21,281.76
small-hydro,Maharashtra,2020-21,802.71
small-hydro,Manipur,2020-21,
small-hydro,Meghalaya,2020-21,56.79
small-hydro,Mizoram,2020-21,31.07
small-hydro,Nagaland,2020-21,69.77
small-hydro,Odisha,2020-21,358.80
small-hydro,Punjab,2020-21,690.33
small-hydro,Rajasthan,2020-21,10.64
small-hydro,Sikkim,2020-21,55.96
small-hydro,Tamil Nadu,2020-21,244.77
small-hydro,Telangana,2020-21,67.27
small-hydro,Tripura,2020-21,9.58
small-hydro,Uttar Pradesh,2020-21,164.91
small-hydro,Uttarakhand,2020-21,821.88
small-hydro,West Bengal,2020-21,107.06
small-hydro,Andaman and Nicobar Islands,2019-20,5.70
small-hydro,Andhra Pradesh,2019-20,298.19
small-hydro,Arunachal Pradesh,2019-20,0.64
small-hydro,Assam,2019-20,52.62
small-hydro,Bihar,2019-20,18.98
small-hydro,Chhattisgarh,2019-20,101.75
small-hydro,Goa,2019-20,
small-hydro,Gujarat,2019-20,194.80
small-hydro,Haryana,2019-20,326.89
small-hydro,Himachal Pradesh,2019-20,2155.58
