Source,Plant Name,Unit Name,State,Year,Plant Vintage,Technology,Sector,Annual Generation (In MU)
nuclear,Madras Atomic Power Station,Madras Atomic Power Station Unit 1,Tamil Nadu,2024-25,1980-1989,Pressurised Heavy Water Reactor,central,0.00
nuclear,Narora Atomic Power Station,Narora Atomic Power Station Unit 1,Uttar Pradesh,2024-25,1990-1999,Pressurised Heavy Water Reactor,central,1841.30
nuclear,Narora Atomic Power Station,Narora Atomic Power Station Unit 2,Uttar Pradesh,2024-25,1990-1999,Pressurised Heavy Water Reactor,central,1785.53
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 6,Rajasthan,2024-25,2010-2019,Pressurised Heavy Water Reactor,central,1991.67
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 3,Rajasthan,2024-25,2000-2009,Pressurised Heavy Water Reactor,central,1014.42
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 1,Rajasthan,2024-25,1970-1979,Pressurised Heavy Water Reactor,central,0.00
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 2,Rajasthan,2024-25,1980-1989,Pressurised Heavy Water Reactor,central,1193.75
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 4,Rajasthan,2024-25,2000-2009,Pressurised Heavy Water Reactor,central,1510.87
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 5,Rajasthan,2024-25,2010-2019,Pressurised Heavy Water Reactor,central,1685.17
nuclear,Tarapur Atomic Power Station,Tarapur Atomic Power Station Unit 2,Maharashtra,2024-25,1960-1969,Boiling Water Reactor,central,0.00
nuclear,Tarapur Atomic Power Station,Tarapur Atomic Power Station Unit 4,Maharashtra,2024-25,2000-2009,Pressurised Heavy Water Reactor,central,3785.44
nuclear,Tarapur Atomic Power Station,Tarapur Atomic Power Station Unit 1,Maharashtra,2024-25,1960-1969,Boiling Water Reactor,central,0.00
nuclear,Tarapur Atomic Power Station,Tarapur Atomic Power Station Unit 3,Maharashtra,2024-25,2000-2009,Pressurised Heavy Water Reactor,central,4681.99
nuclear,Kaiga Generating Station,Kaiga Generating Station Unit 2,Karnataka,2023-24,2000-2009,Pressurised Heavy Water Reactor,central,1932.57
nuclear,Kaiga Generating Station,Kaiga Generating Station Unit 4,Karnataka,2023-24,2010-2019,Pressurised Heavy Water Reactor,central,2001.00
nuclear,Kaiga Generating Station,Kaiga Generating Station Unit 3,Karnataka,2023-24,2000-2009,Pressurised Heavy Water Reactor,central,1912.28
nuclear,Kaiga Generating Station,Kaiga Generating Station Unit 1,Karnataka,2023-24,2000-2009,Pressurised Heavy Water Reactor,central,1640.90
nuclear,Kakrapar Atomic Power Station,Kakrapar Atomic Power Station Unit 2,Gujarat,2023-24,1990-1999,Pressurised Heavy Water Reactor,central,1708.00
nuclear,Kakrapar Atomic Power Station,Kakrapar Atomic Power Station Unit 4,Gujarat,2023-24,2020-2029,Pressurised Heavy Water Reactor,central,0.00
nuclear,Kakrapar Atomic Power Station,Kakrapar Atomic Power Station Unit 1,Gujarat,2023-24,1990-1999,Pressurised Heavy Water Reactor,central,1967.13
nuclear,Kakrapar Atomic Power Station,Kakrapar Atomic Power Station Unit 3,Gujarat,2023-24,2020-2029,Pressurised Heavy Water Reactor,central,3871.61
nuclear,Kudankulam Atomic Power Project,Kudankulam Atomic Power Project Unit 1,Tamil Nadu,2023-24,2010-2019,Pressurised Water Reactor,central,6655.68
nuclear,Kudankulam Atomic Power Project,Kudankulam Atomic Power Project Unit 2,Tamil Nadu,2023-24,2010-2019,Pressurised Water Reactor,central,6562.95
nuclear,Madras Atomic Power Station,Madras Atomic Power Station Unit 1,Tamil Nadu,2023-24,1980-1989,Pressurised Heavy Water Reactor,central,0.00
nuclear,Madras Atomic Power Station,Madras Atomic Power Station Unit 2,Tamil Nadu,2023-24,1980-1989,Pressurised Heavy Water Reactor,central,1591.50
nuclear,Narora Atomic Power Station,Narora Atomic Power Station Unit 2,Uttar Pradesh,2023-24,1990-1999,Pressurised Heavy Water Reactor,central,1348.75
nuclear,Narora Atomic Power Station,Narora Atomic Power Station Unit 1,Uttar Pradesh,2023-24,1990-1999,Pressurised Heavy Water Reactor,central,1516.30
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 2,Rajasthan,2023-24,1980-1989,Pressurised Heavy Water Reactor,central,1591.20
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 6,Rajasthan,2023-24,2010-2019,Pressurised Heavy Water Reactor,central,1754.39
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 4,Rajasthan,2023-24,2000-2009,Pressurised Heavy Water Reactor,central,1676.28
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 1,Rajasthan,2023-24,1970-1979,Pressurised Heavy Water Reactor,central,0.00
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 3,Rajasthan,2023-24,2000-2009,Pressurised Heavy Water Reactor,central,0.00
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 5,Rajasthan,2023-24,2010-2019,Pressurised Heavy Water Reactor,central,1974.61
nuclear,Tarapur Atomic Power Station,Tarapur Atomic Power Station Unit 3,Maharashtra,2023-24,2000-2009,Pressurised Heavy Water Reactor,central,4147.49
nuclear,Tarapur Atomic Power Station,Tarapur Atomic Power Station Unit 1,Maharashtra,2023-24,1960-1969,Boiling Water Reactor,central,0.00
nuclear,Tarapur Atomic Power Station,Tarapur Atomic Power Station Unit 2,Maharashtra,2023-24,1960-1969,Boiling Water Reactor,central,0.00
nuclear,Tarapur Atomic Power Station,Tarapur Atomic Power Station Unit 4,Maharashtra,2023-24,2000-2009,Pressurised Heavy Water Reactor,central,3964.62
nuclear,Kaiga Generating Station,Kaiga Generating Station Unit 2,Karnataka,2022-23,2000-2009,Pressurised Heavy Water Reactor,central,1685.64
nuclear,Kaiga Generating Station,Kaiga Generating Station Unit 3,Karnataka,2022-23,2000-2009,Pressurised Heavy Water Reactor,central,2070.45
nuclear,Kaiga Generating Station,Kaiga Generating Station Unit 1,Karnataka,2022-23,2000-2009,Pressurised Heavy Water Reactor,central,1853.06
nuclear,Kaiga Generating Station,Kaiga Generating Station Unit 4,Karnataka,2022-23,2010-2019,Pressurised Heavy Water Reactor,central,1826.21
nuclear,Kakrapar Atomic Power Station,Kakrapar Atomic Power Station Unit 2,Gujarat,2022-23,1990-1999,Pressurised Heavy Water Reactor,central,1845.56
nuclear,Kakrapar Atomic Power Station,Kakrapar Atomic Power Station Unit 1,Gujarat,2022-23,1990-1999,Pressurised Heavy Water Reactor,central,1793.51
nuclear,Kudankulam Atomic Power Project,Kudankulam Atomic Power Project Unit 2,Tamil Nadu,2022-23,2010-2019,Pressurised Water Reactor,central,7191.32
