Source,Plant Name,Unit Name,State,Year,Plant Vintage,Technology,Sector,Annual Generation (In MU)
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 5,Rajasthan,2018-19,2010-2019,Pressurised Heavy Water Reactor,central,1719.98
nuclear,Tarapur Atomic Power Station,Tarapur Atomic Power Station Unit 2,Maharashtra,2018-19,1960-1969,Boiling Water Reactor,central,936.89
nuclear,Tarapur Atomic Power Station,Tarapur Atomic Power Station Unit 1,Maharashtra,2018-19,1960-1969,Boiling Water Reactor,central,1321.51
nuclear,Tarapur Atomic Power Station,Tarapur Atomic Power Station Unit 3,Maharashtra,2018-19,2000-2009,Pressurised Heavy Water Reactor,central,4353.63
nuclear,Tarapur Atomic Power Station,Tarapur Atomic Power Station Unit 4,Maharashtra,2018-19,2000-2009,Pressurised Heavy Water Reactor,central,4154.18
nuclear,Kaiga Generating Station,Kaiga Generating Station Unit 1,Karnataka,2017-18,2000-2009,Pressurised Heavy Water Reactor,central,1916.03
nuclear,Kaiga Generating Station,Kaiga Generating Station Unit 3,Karnataka,2017-18,2000-2009,Pressurised Heavy Water Reactor,central,1870.12
nuclear,Kaiga Generating Station,Kaiga Generating Station Unit 2,Karnataka,2017-18,2000-2009,Pressurised Heavy Water Reactor,central,1874.41
nuclear,Kaiga Generating Station,Kaiga Generating Station Unit 4,Karnataka,2017-18,2010-2019,Pressurised Heavy Water Reactor,central,1798.07
nuclear,Kakrapar Atomic Power Station,Kakrapar Atomic Power Station Unit 2,Gujarat,2017-18,1990-1999,Pressurised Heavy Water Reactor,central,0.00
nuclear,Kakrapar Atomic Power Station,Kakrapar Atomic Power Station Unit 1,Gujarat,2017-18,1990-1999,Pressurised Heavy Water Reactor,central,0.00
nuclear,Kudankulam Atomic Power Project,Kudankulam Atomic Power Project Unit 2,Tamil Nadu,2017-18,2010-2019,Pressurised Water Reactor,central,4254.15
nuclear,Kudankulam Atomic Power Project,Kudankulam Atomic Power Project Unit 1,Tamil Nadu,2017-18,2010-2019,Pressurised Water Reactor,central,4355.25
nuclear,Madras Atomic Power Station,Madras Atomic Power Station Unit 1,Tamil Nadu,2017-18,1980-1989,Pressurised Heavy Water Reactor,central,1194.34
nuclear,Madras Atomic Power Station,Madras Atomic Power Station Unit 2,Tamil Nadu,2017-18,1980-1989,Pressurised Heavy Water Reactor,central,1781.34
nuclear,Narora Atomic Power Station,Narora Atomic Power Station Unit 1,Uttar Pradesh,2017-18,1990-1999,Pressurised Heavy Water Reactor,central,1836.08
nuclear,Narora Atomic Power Station,Narora Atomic Power Station Unit 2,Uttar Pradesh,2017-18,1990-1999,Pressurised Heavy Water Reactor,central,1800.31
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 2,Rajasthan,2017-18,1980-1989,Pressurised Heavy Water Reactor,central,1555.68
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 4,Rajasthan,2017-18,2000-2009,Pressurised Heavy Water Reactor,central,1655.94
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 3,Rajasthan,2017-18,2000-2009,Pressurised Heavy Water Reactor,central,1877.10
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 5,Rajasthan,2017-18,2010-2019,Pressurised Heavy Water Reactor,central,1973.16
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 1,Rajasthan,2017-18,1970-1979,Pressurised Heavy Water Reactor,central,0.00
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 6,Rajasthan,2017-18,2010-2019,Pressurised Heavy Water Reactor,central,1538.06
nuclear,Tarapur Atomic Power Station,Tarapur Atomic Power Station Unit 2,Maharashtra,2017-18,1960-1969,Boiling Water Reactor,central,999.87
nuclear,Tarapur Atomic Power Station,Tarapur Atomic Power Station Unit 1,Maharashtra,2017-18,1960-1969,Boiling Water Reactor,central,183.82
nuclear,Tarapur Atomic Power Station,Tarapur Atomic Power Station Unit 4,Maharashtra,2017-18,2000-2009,Pressurised Heavy Water Reactor,central,1996.13
nuclear,Tarapur Atomic Power Station,Tarapur Atomic Power Station Unit 3,Maharashtra,2017-18,2000-2009,Pressurised Heavy Water Reactor,central,3680.54
nuclear,Kaiga Generating Station,Kaiga Generating Station Unit 4,Karnataka,2016-17,2010-2019,Pressurised Heavy Water Reactor,central,2017.63
nuclear,Kaiga Generating Station,Kaiga Generating Station Unit 1,Karnataka,2016-17,2000-2009,Pressurised Heavy Water Reactor,central,1740.85
nuclear,Kaiga Generating Station,Kaiga Generating Station Unit 2,Karnataka,2016-17,2000-2009,Pressurised Heavy Water Reactor,central,1712.58
nuclear,Kaiga Generating Station,Kaiga Generating Station Unit 3,Karnataka,2016-17,2000-2009,Pressurised Heavy Water Reactor,central,1062.43
nuclear,Kakrapar Atomic Power Station,Kakrapar Atomic Power Station Unit 1,Gujarat,2016-17,1990-1999,Pressurised Heavy Water Reactor,central,0.00
nuclear,Kakrapar Atomic Power Station,Kakrapar Atomic Power Station Unit 2,Gujarat,2016-17,1990-1999,Pressurised Heavy Water Reactor,central,0.00
nuclear,Kudankulam Atomic Power Project,Kudankulam Atomic Power Project Unit 1,Tamil Nadu,2016-17,2010-2019,Pressurised Water Reactor,central,6291.61
nuclear,Kudankulam Atomic Power Project,Kudankulam Atomic Power Project Unit 2,Tamil Nadu,2016-17,2010-2019,Pressurised Water Reactor,central,174.41
nuclear,Madras Atomic Power Station,Madras Atomic Power Station Unit 2,Tamil Nadu,2016-17,1980-1989,Pressurised Heavy Water Reactor,central,1739.24
nuclear,Madras Atomic Power Station,Madras Atomic Power Station Unit 1,Tamil Nadu,2016-17,1980-1989,Pressurised Heavy Water Reactor,central,1465.43
nuclear,Narora Atomic Power Station,Narora Atomic Power Station Unit 2,Uttar Pradesh,2016-17,1990-1999,Pressurised Heavy Water Reactor,central,1723.28
nuclear,Narora Atomic Power Station,Narora Atomic Power Station Unit 1,Uttar Pradesh,2016-17,1990-1999,Pressurised Heavy Water Reactor,central,1655.61
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 6,Rajasthan,2016-17,2010-2019,Pressurised Heavy Water Reactor,central,1120.58
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 3,Rajasthan,2016-17,2000-2009,Pressurised Heavy Water Reactor,central,1617.16
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 4,Rajasthan,2016-17,2000-2009,Pressurised Heavy Water Reactor,central,1908.62
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 5,Rajasthan,2016-17,2010-2019,Pressurised Heavy Water Reactor,central,1717.44
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 2,Rajasthan,2016-17,1980-1989,Pressurised Heavy Water Reactor,central,1108.79
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 1,Rajasthan,2016-17,1970-1979,Pressurised Heavy Water Reactor,central,0.00
nuclear,Tarapur Atomic Power Station,Tarapur Atomic Power Station Unit 1,Maharashtra,2016-17,1960-1969,Boiling Water Reactor,central,1241.39
nuclear,Tarapur Atomic Power Station,Tarapur Atomic Power Station Unit 2,Maharashtra,2016-17,1960-1969,Boiling Water Reactor,central,934.37
nuclear,Tarapur Atomic Power Station,Tarapur Atomic Power Station Unit 3,Maharashtra,2016-17,2000-2009,Pressurised Heavy Water Reactor,central,4156.08
nuclear,Tarapur Atomic Power Station,Tarapur Atomic Power Station Unit 4,Maharashtra,2016-17,2000-2009,Pressurised Heavy Water Reactor,central,4528.35
nuclear,Kaiga Generating Station,Kaiga Generating Station Unit 1,Karnataka,2015-16,2000-2009,Pressurised Heavy Water Reactor,central,1918.59
nuclear,Kaiga Generating Station,Kaiga Generating Station Unit 2,Karnataka,2015-16,2000-2009,Pressurised Heavy Water Reactor,central,1834.13
nuclear,Kaiga Generating Station,Kaiga Generating Station Unit 3,Karnataka,2015-16,2000-2009,Pressurised Heavy Water Reactor,central,2077.63
nuclear,Kaiga Generating Station,Kaiga Generating Station Unit 4,Karnataka,2015-16,2010-2019,Pressurised Heavy Water Reactor,central,1841.65
nuclear,Kakrapar Atomic Power Station,Kakrapar Atomic Power Station Unit 2,Gujarat,2015-16,1990-1999,Pressurised Heavy Water Reactor,central,421.10
nuclear,Kakrapar Atomic Power Station,Kakrapar Atomic Power Station Unit 1,Gujarat,2015-16,1990-1999,Pressurised Heavy Water Reactor,central,1610.17
nuclear,Kudankulam Atomic Power Project,Kudankulam Atomic Power Project Unit 1,Tamil Nadu,2015-16,2010-2019,Pressurised Water Reactor,central,2245.66
nuclear,Madras Atomic Power Station,Madras Atomic Power Station Unit 2,Tamil Nadu,2015-16,1980-1989,Pressurised Heavy Water Reactor,central,1349.96
nuclear,Madras Atomic Power Station,Madras Atomic Power Station Unit 1,Tamil Nadu,2015-16,1980-1989,Pressurised Heavy Water Reactor,central,1861.21
nuclear,Narora Atomic Power Station,Narora Atomic Power Station Unit 1,Uttar Pradesh,2015-16,1990-1999,Pressurised Heavy Water Reactor,central,1804.28
nuclear,Narora Atomic Power Station,Narora Atomic Power Station Unit 2,Uttar Pradesh,2015-16,1990-1999,Pressurised Heavy Water Reactor,central,1630.98
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 4,Rajasthan,2015-16,2000-2009,Pressurised Heavy Water Reactor,central,1665.51
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 5,Rajasthan,2015-16,2010-2019,Pressurised Heavy Water Reactor,central,1947.58
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 3,Rajasthan,2015-16,2000-2009,Pressurised Heavy Water Reactor,central,1772.59
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 1,Rajasthan,2015-16,1970-1979,Pressurised Heavy Water Reactor,central,0.00
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 2,Rajasthan,2015-16,1980-1989,Pressurised Heavy Water Reactor,central,1226.04
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 6,Rajasthan,2015-16,2010-2019,Pressurised Heavy Water Reactor,central,1770.61
nuclear,Tarapur Atomic Power Station,Tarapur Atomic Power Station Unit 1,Maharashtra,2015-16,1960-1969,Boiling Water Reactor,central,789.99
nuclear,Tarapur Atomic Power Station,Tarapur Atomic Power Station Unit 3,Maharashtra,2015-16,2000-2009,Pressurised Heavy Water Reactor,central,4531.24
nuclear,Tarapur Atomic Power Station,Tarapur Atomic Power Station Unit 4,Maharashtra,2015-16,2000-2009,Pressurised Heavy Water Reactor,central,4571.80
nuclear,Tarapur Atomic Power Station,Tarapur Atomic Power Station Unit 2,Maharashtra,2015-16,1960-1969,Boiling Water Reactor,central,500.07
,,,,,,,,
"Copyright © 2025, NITI Aayog",,,,,,,,
https://iced.niti.gov.in,,,,,,,,
"The information on this platform is mainly taken from official sources. However, in some cases, a few assumptions have been made and some data derived or assumed and is given in the detailed. While we believe that the data is reliable and adequately comprehensive, NITI Aayog ICED does not take guarantee that such information is in all respects accurate. NITI Aayog ICED does not accept any liability for any consequences resulting from the use of this data.sss",,,,,,,,
