Source,State,Year,Annual Generation (In MU)
solar,Karnataka,2021-22,13169.43
solar,Kerala,2021-22,496.93
solar,Ladakh,2021-22,
solar,Lakshadweep,2021-22,0.30
solar,Madhya Pradesh,2021-22,4006.70
solar,Maharashtra,2021-22,3187.18
solar,Manipur,2021-22,6.72
solar,Meghalaya,2021-22,0.47
solar,Mizoram,2021-22,1.68
solar,Nagaland,2021-22,
solar,Odisha,2021-22,603.71
solar,Others,2021-22,
solar,Puducherry,2021-22,12.24
solar,Punjab,2021-22,1473.41
solar,Rajasthan,2021-22,17219.88
solar,Sikkim,2021-22,
solar,Tamil Nadu,2021-22,7172.88
solar,Telangana,2021-22,6536.94
solar,Tripura,2021-22,6.18
solar,Uttar Pradesh,2021-22,2900.41
solar,Uttarakhand,2021-22,301.60
solar,West Bengal,2021-22,98.24
solar,Andaman and Nicobar Islands,2020-21,24.82
solar,Andhra Pradesh,2020-21,6956.10
solar,Arunachal Pradesh,2020-21,1.54
solar,Assam,2020-21,13.37
solar,Bihar,2020-21,160.63
solar,Chandigarh,2020-21,10.16
solar,Chhattisgarh,2020-21,370.80
solar,Dadra and Nagar Haveli and Daman and Diu,2020-21,41.48
solar,Delhi,2020-21,189.99
solar,Goa,2020-21,1.46
solar,Gujarat,2020-21,4633.81
solar,Haryana,2020-21,162.95
solar,Himachal Pradesh,2020-21,36.52
solar,Jammu and Kashmir,2020-21,9.42
solar,Jharkhand,2020-21,17.16
solar,Karnataka,2020-21,13238.86
solar,Kerala,2020-21,275.44
solar,Lakshadweep,2020-21,0.45
solar,Madhya Pradesh,2020-21,4202.03
solar,Maharashtra,2020-21,3089.46
solar,Manipur,2020-21,7.71
solar,Meghalaya,2020-21,
solar,Mizoram,2020-21,2.45
solar,Nagaland,2020-21,
solar,Odisha,2020-21,476.27
solar,Others,2020-21,
solar,Puducherry,2020-21,6.39
solar,Punjab,2020-21,1356.48
solar,Rajasthan,2020-21,10384.24
solar,Sikkim,2020-21,
solar,Tamil Nadu,2020-21,6115.48
solar,Telangana,2020-21,6351.04
solar,Tripura,2020-21,6.04
solar,Uttar Pradesh,2020-21,1856.19
solar,Uttarakhand,2020-21,329.64
solar,West Bengal,2020-21,73.90
solar,Andaman and Nicobar Islands,2019-20,11.60
solar,Andhra Pradesh,2019-20,5855.11
solar,Arunachal Pradesh,2019-20,1.60
solar,Assam,2019-20,6.14
solar,Bihar,2019-20,160.16
solar,Chandigarh,2019-20,13.33
solar,Chhattisgarh,2019-20,326.42
solar,Dadra and Nagar Haveli and Daman and Diu,2019-20,28.02
solar,Delhi,2019-20,136.30
solar,Goa,2019-20,0.82
solar,Gujarat,2019-20,3631.86
solar,Haryana,2019-20,125.14
