Source,State,Year,Annual Generation (In MU)
bio-power,Chhattisgarh,2020-21,1117.57
bio-power,Dadra and Nagar Haveli and Daman and Diu,2020-21,10.53
bio-power,Delhi,2020-21,236.71
bio-power,Goa,2020-21,
bio-power,Gujarat,2020-21,73.13
bio-power,Haryana,2020-21,321.22
bio-power,Himachal Pradesh,2020-21,
bio-power,Jharkhand,2020-21,
bio-power,Karnataka,2020-21,2800.88
bio-power,Kerala,2020-21,45.69
bio-power,Madhya Pradesh,2020-21,120.62
bio-power,Maharashtra,2020-21,3955.76
bio-power,Meghalaya,2020-21,
bio-power,Odisha,2020-21,42.71
bio-power,Punjab,2020-21,817.66
bio-power,Rajasthan,2020-21,413.24
bio-power,Tamil Nadu,2020-21,733.80
bio-power,Telangana,2020-21,294.16
bio-power,Uttar Pradesh,2020-21,3726.69
bio-power,Uttarakhand,2020-21,85.33
bio-power,West Bengal,2020-21,1349.72
bio-power,Andhra Pradesh,2019-20,213.27
bio-power,Bihar,2019-20,179.54
bio-power,Chhattisgarh,2019-20,679.70
bio-power,Delhi,2019-20,287.39
bio-power,Goa,2019-20,
bio-power,Gujarat,2019-20,141.75
bio-power,Haryana,2019-20,281.47
bio-power,Himachal Pradesh,2019-20,
bio-power,Jharkhand,2019-20,
bio-power,Karnataka,2019-20,2376.65
bio-power,Kerala,2019-20,11.03
bio-power,Madhya Pradesh,2019-20,129.49
bio-power,Maharashtra,2019-20,2933.28
bio-power,Meghalaya,2019-20,
bio-power,Odisha,2019-20,66.59
bio-power,Punjab,2019-20,651.53
bio-power,Rajasthan,2019-20,389.94
bio-power,Tamil Nadu,2019-20,454.58
bio-power,Telangana,2019-20,245.78
bio-power,Uttar Pradesh,2019-20,3659.74
bio-power,Uttarakhand,2019-20,110.26
bio-power,West Bengal,2019-20,1295.07
bio-power,Andhra Pradesh,2018-19,521.58
bio-power,Bihar,2018-19,268.22
bio-power,Chhattisgarh,2018-19,529.90
bio-power,Delhi,2018-19,276.81
bio-power,Gujarat,2018-19,80.37
bio-power,Haryana,2018-19,339.05
bio-power,Himachal Pradesh,2018-19,
bio-power,Jharkhand,2018-19,
bio-power,Karnataka,2018-19,2500.37
bio-power,Kerala,2018-19,
bio-power,Madhya Pradesh,2018-19,163.44
bio-power,Maharashtra,2018-19,4434.07
bio-power,Meghalaya,2018-19,
bio-power,Odisha,2018-19,66.08
bio-power,Punjab,2018-19,601.08
bio-power,Rajasthan,2018-19,345.09
bio-power,Tamil Nadu,2018-19,395.16
bio-power,Telangana,2018-19,407.73
bio-power,Uttar Pradesh,2018-19,4428.44
bio-power,Uttarakhand,2018-19,109.89
bio-power,West Bengal,2018-19,1284.50
bio-power,Andhra Pradesh,2017-18,402.70
bio-power,Bihar,2017-18,155.77
bio-power,Chhattisgarh,2017-18,909.72
bio-power,Delhi,2017-18,227.68
bio-power,Gujarat,2017-18,32.65
bio-power,Haryana,2017-18,285.76
bio-power,Himachal Pradesh,2017-18,
bio-power,Jharkhand,2017-18,
bio-power,Karnataka,2017-18,2057.56
bio-power,Kerala,2017-18,
bio-power,Madhya Pradesh,2017-18,117.25
bio-power,Maharashtra,2017-18,3767.83
bio-power,Meghalaya,2017-18,
bio-power,Odisha,2017-18,47.22
bio-power,Punjab,2017-18,694.18
bio-power,Rajasthan,2017-18,340.84
bio-power,Tamil Nadu,2017-18,729.72
bio-power,Telangana,2017-18,371.93
bio-power,Uttar Pradesh,2017-18,3939.09
bio-power,Uttarakhand,2017-18,143.81
bio-power,West Bengal,2017-18,1387.01
bio-power,Andhra Pradesh,2016-17,526.86
bio-power,Bihar,2016-17,159.25
bio-power,Chhattisgarh,2016-17,1281.12
bio-power,Delhi,2016-17,139.07
bio-power,Gujarat,2016-17,12.16
bio-power,Haryana,2016-17,174.08
bio-power,Himachal Pradesh,2016-17,
bio-power,Jharkhand,2016-17,
bio-power,Karnataka,2016-17,1708.55
bio-power,Kerala,2016-17,1.23
bio-power,Madhya Pradesh,2016-17,114.85
bio-power,Maharashtra,2016-17,2614.56
bio-power,Meghalaya,2016-17,
bio-power,Odisha,2016-17,57.86
bio-power,Punjab,2016-17,763.71
bio-power,Rajasthan,2016-17,272.96
bio-power,Tamil Nadu,2016-17,1226.48
bio-power,Telangana,2016-17,397.46
bio-power,Uttar Pradesh,2016-17,3394.52
bio-power,Uttarakhand,2016-17,103.52
bio-power,West Bengal,2016-17,1433.93
bio-power,Andhra Pradesh,2015-16,707.80
bio-power,Bihar,2015-16,104.84
bio-power,Chhattisgarh,2015-16,1119.33
bio-power,Delhi,2015-16,124.88
bio-power,Gujarat,2015-16,23.28
bio-power,Haryana,2015-16,235.56
bio-power,Himachal Pradesh,2015-16,
bio-power,Jharkhand,2015-16,
bio-power,Karnataka,2015-16,3591.94
bio-power,Kerala,2015-16,72.97
bio-power,Madhya Pradesh,2015-16,128.19
bio-power,Maharashtra,2015-16,3433.66
bio-power,Meghalaya,2015-16,
bio-power,Odisha,2015-16,20.46
bio-power,Punjab,2015-16,603.54
bio-power,Rajasthan,2015-16,245.49
bio-power,Tamil Nadu,2015-16,1337.03
bio-power,Telangana,2015-16,576.70
bio-power,Uttar Pradesh,2015-16,3082.02
bio-power,Uttarakhand,2015-16,91.86
bio-power,West Bengal,2015-16,1444.31
,,,
"Copyright © 2025, NITI Aayog",,,
https://iced.niti.gov.in,,,
"The information on this platform is mainly taken from official sources. However, in some cases, a few assumptions have been made and some data derived or assumed and is given in the detailed. While we believe that the data is reliable and adequately comprehensive, NITI Aayog ICED does not take guarantee that such information is in all respects accurate. NITI Aayog ICED does not accept any liability for any consequences resulting from the use of this data.sss",,,
